RANK,TITLE,BRAND NAME,DISCOUNT PRICE,TRUE PRICE,DISCOUNT PERCENTAGE,RATING,DETAILS,RATING COUNT,REVIEW COUNT,URL
34,ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,Asus,48990,75990,35,4.3,"Intel Core i5 Processor (11th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Carry-in Warranty",3695,366,https://www.flipkart.com/asus-tuf-gaming-f15-ai-powered-intel-core-i5-11th-gen-11260h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-70-tgp-fx506hf-hn075w-laptop/p/itmbd858702e076f
35,HP 14s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light...,Hp,33490,49509,32,4.3,"Intel Core i3 Processor (11th Gen)
8 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
35.56 cm (14 inch) Display
Microsoft Office Home & Student 2021
1 Year Onsite Warranty",12021,935,https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-dy2508tu-thin-light-laptop/p/itm42a82790cf5ec
36,Lenovo Yoga Slim 6 Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) 14IAP8 Thin and L...,Lenovo,63818,78590,18,4.2,"Intel Core i5 Processor (12th Gen)
16 GB LPDDR5 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 inch) Display
1 Year Carry-in Warranty",792,123,https://www.flipkart.com/lenovo-yoga-slim-6-intel-core-i5-12th-gen-1240p-16-gb-512-gb-ssd-windows-11-home-14iap8-thin-light-laptop/p/itmae04103d75ff9
37,HP Pavilion Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) 15-eg3018TU Thin and Light...,Hp,72490,87095,16,4.3,"Intel Core i5 Processor (13th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
1 TB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",294,21,https://www.flipkart.com/hp-pavilion-intel-core-i5-13th-gen-1335u-16-gb-1-tb-ssd-windows-11-home-15-eg3018tu-thin-light-laptop/p/itma2cd39eea5796
38,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 6...,Hp,48990,63628,23,4.3,"AMD Ryzen 5 Hexa Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",874,84,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-6500m-60-hz-15-fb0147ax-gaming-laptop/p/itm236b5aaa84afc
39,Acer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,Acer,38990,64999,40,3.8,"AMD Ryzen 5 Hexa Core Processor
16 GB DDR4 RAM
Windows 11 Operating System
1 TB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",26,3,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5500u-16-gb-1-tb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm0d5eddf7d0d52
40,Acer Intel Celeron Dual Core N4500 - (8 GB/128 GB SSD/Chrome OS) CB314-3H-C5QE Chromebook,Acer,16990,33999,50,3.9,"Intel Celeron Dual Core Processor
8 GB LPDDR4X RAM
Chrome Operating System
128 GB SSD
35.56 cm (14 inch) Display
1 Year Onsite Warranty",63,6,https://www.flipkart.com/acer-intel-celeron-dual-core-n4500-8-gb-128-gb-ssd-chrome-os-cb314-3h-c5qe-chromebook/p/itmf7e8ce733eb56
41,SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (32 GB/1 TB SSD/Windows 11 Home) NP960XGK-KG3 T...,Samsung,181990,209289,13,,"Intel Core Ultra 7 Processor
32 GB LPDDR5X RAM
64 bit Windows 11 Operating System
1 TB SSD
40.64 cm (16 inch) Touchscreen Display
MS Office Home and Student 2021
1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories",,,https://www.flipkart.com/samsung-galaxy-book4-pro-evo-intel-core-ultra-7-155h-32-gb-1-tb-ssd-windows-11-home-np960xgk-kg3-thin-light-laptop/p/itm01c1bcd754772
42,SAMSUNG Galaxy Book4 360 Evo Intel Core 7 150U - (16 GB/1 TB SSD/Windows 11 Home) NP750QGK-KG3 2 in 1 ...,Samsung,138990,159839,13,,"Intel Core 7 Processor
16 GB LPDDR5 RAM
64 bit Windows 11 Operating System
1 TB SSD
39.62 cm (15.6 inch) Touchscreen Display
MS Office Home and Student 2021
1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories",,,https://www.flipkart.com/samsung-galaxy-book4-360-evo-intel-core-7-150u-16-gb-1-tb-ssd-windows-11-home-np750qgk-kg3-2-1-laptop/p/itm1f1b9d1b5821d
43,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home) M1502QA-EJ742WS Thi...,Asus,49990,82990,39,4.2,"AMD Ryzen 7 Octa Core Processor
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",1218,102,https://www.flipkart.com/asus-vivobook-15-amd-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-11-home-m1502qa-ej742ws-thin-light-laptop/p/itmf83037b199f30
